question_title,question_order,name,model_tag,tags,type,mean,median,std,sem,ci_95
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Aija-enhanced-100p.wav,not_synthetic,Aija.wav;female;not_synthetic,A,3.6,4.0,1.02,0.51,1.416
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p233_197_mic2_0_noisy.wav,synthetic,p233_197_mic2_0_noisy.wav;female;synthetic,A,1.2,1.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p318_300_mic1_0_noisy-enhanced-100p.wav,synthetic,p318_300_mic1_0_noisy.wav;female;synthetic,A,4.6,5.0,0.49,0.245,0.68
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p268_221_mic1_0_noisy.wav,synthetic,p268_221_mic1_0_noisy.wav;female;synthetic,A,2.6,2.0,1.2,0.6,1.666
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,youtube1-enhanced-100p.wav,not_synthetic,youtube1.wav;male;not_synthetic,A,2.4,3.0,0.8,0.4,1.111
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p294_015_mic1_0_noisy-enhanced-100p.wav,synthetic,p294_015_mic1_0_noisy.wav;female;synthetic,A,4.4,4.0,0.49,0.245,0.68
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_m9_script2_clean_25_waitingroom1_Uber_ch5-enhanced-100p.wav,not_synthetic,DDS_m9_script2_clean_25_waitingroom1_Uber_ch5.wav;male;not_synthetic,A,4.6,5.0,0.49,0.245,0.68
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_m5_script1_clean_16_waitingroom1_iPad_ch4.wav,not_synthetic,DDS_m5_script1_clean_16_waitingroom1_iPad_ch4.wav;male;not_synthetic,A,4.0,4.0,0.632,0.316,0.878
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Jacek_Audacity_v3.wav,not_synthetic,Jacek_Audacity_v3.wav;male;not_synthetic,A,3.8,4.0,1.47,0.735,2.04
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_f1_script1_clean_01_confroom1_iPad_ch1.wav,not_synthetic,DDS_f1_script1_clean_01_confroom1_iPad_ch1.wav;female;not_synthetic,A,3.2,3.0,0.748,0.374,1.039
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Jacek_Audacity_v2-enhanced-100p.wav,not_synthetic,Jacek_Audacity_v2.wav;male;not_synthetic,A,3.8,3.0,0.98,0.49,1.36
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_m5_script1_clean_16_waitingroom1_iPad_ch4-enhanced-100p.wav,not_synthetic,DDS_m5_script1_clean_16_waitingroom1_iPad_ch4.wav;male;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_f2_script2_clean_08_office1_iPad_ch1.wav,not_synthetic,DDS_f2_script2_clean_08_office1_iPad_ch1.wav;female;not_synthetic,A,3.8,4.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,test-recording-2-enhanced-100p.wav,not_synthetic,test-recording-2.wav;male;not_synthetic,A,4.6,5.0,0.49,0.245,0.68
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p316_193_mic2_0_noisy.wav,synthetic,p316_193_mic2_0_noisy.wav;male;synthetic,A,2.8,3.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,f2_script3_produced_5_noisy.wav,synthetic,f2_script3_produced_5_noisy.wav;female;synthetic,A,2.8,3.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Jacek_Audacity_v2.wav,not_synthetic,Jacek_Audacity_v2.wav;male;not_synthetic,A,3.2,3.0,0.98,0.49,1.36
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Jacek_Samsung_M31_v3.wav,not_synthetic,Jacek_Samsung_M31_v3.wav;male;not_synthetic,A,4.0,4.0,0.632,0.316,0.878
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_f2_script2_clean_08_office1_iPad_ch1-enhanced-100p.wav,not_synthetic,DDS_f2_script2_clean_08_office1_iPad_ch1.wav;female;not_synthetic,A,3.8,4.0,0.748,0.374,1.039
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Jacek_Samsung_M31_v2-enhanced-100p.wav,not_synthetic,Jacek_Samsung_M31_v2.wav;male;not_synthetic,A,4.4,4.0,0.49,0.245,0.68
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p316_193_mic2_0_noisy-enhanced-100p.wav,synthetic,p316_193_mic2_0_noisy.wav;male;synthetic,A,3.8,4.0,0.748,0.374,1.039
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Monika-enhanced-100p.wav,not_synthetic,Monika.wav;female;not_synthetic,A,4.2,4.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,youtube1.wav,not_synthetic,youtube1.wav;male;not_synthetic,A,2.6,3.0,1.02,0.51,1.416
